feature,importance
waiting_days,0.09199999999999997
age,0.024105860113421508
scheduled_hour,0.006056710775047214
neighbourhood_freq,0.005724007561436628
sms_received,0.0047939508506616105
prior_no_show_rate,0.0042873345935727555
scholarship,0.002374291115311866
appointment_dow,0.0008544423440453475
alcoholism,0.0003478260869564931
appointment_month_num,0.0
gender_code,-0.0001587901701323391
handicap_flag,-0.00019659735349719654
diabetes,-0.0008771266540642975
hypertension,-0.0010207939508506847
prior_appointments,-0.004136105860113459
